03444495+3213364,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+44.95+%2B32+13+36.4+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03444508+3214130,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+45.08+%2B32+14+13.0+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03445561+3209198,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+55.61+%2B32+09+19.8+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05352860-0455036,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+35+28.60-04+55+03.6+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03443979+3218041,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+39.79+%2B32+18+04.1+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03444770+3219117,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+47.70+%2B32+19+11.7+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03512664+2504369,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+51+26.64+%2B25+04+36.9+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03444173+3212022,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+41.73+%2B32+12+02.2+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03445064+3219067,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+50.64+%2B32+19+06.7+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03250916+3126099,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+25+09.16+%2B31+26+09.9+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
