locationID,apogeeID,Teff1,Teff2,logg
4611,2M05350392-0529033,2500.0,2500.0,N/A
4611,2M05351113-0536511,3675.0,3365.0,N/A
4611,2M05351554-0525140,6000.0,2832.5,N/A
