03400448+3118568,16
03423215+3229291,16
03434101+3237320,16
03441568+3231282,16
03424086+3213347,16
03441143+3219401,16
03430679+3148204,15
03452214+3202040,14
03431992+3202412,9
05321683-0548237,8
03405779+3118059,7
03450783+3102335,7
03485329+3132297,7
03261467+3209453,7
03430073+3304482,7
03475033+3226225,7
06413207+1001049,6
06400851+0944134,6
05342386-0515403,5
06410360+0930290,5
06413433+0925533,5
03490216+3242086,5
03443482+3211180,4
03444495+3213364,4
03444508+3214130,4
03445561+3209198,4
05352860-0455036,4
03443979+3218041,4
03444770+3219117,4
03512664+2504369,3
03444173+3212022,3
03445064+3219067,3
03250916+3126099,3
03433710+2338322,3
03441396+2532155,3
03510274+2325420,3
03505403+2309119,2
03454440+2413132,2
03435812+3213568,2
03441776+3204476,2
05345563-0601036,2
05350326-0449209,2
05350392-0529033,2
05352989-0512103,2
05351077-0651557,2
05351580-0646291,2
05432464-0813275,2
03443444+3206250,2
05345249-0449404,2
05364717-0522500,2
05382589-0659519,2
05412451-0856320,2
03292204+3124153,1
05340693-0439303,1
05343087-0425070,1
05345220-0440117,1
05351113-0536511,1
05351554-0525140,1
05352813-0523064,1
05353154-0540278,1
05353645-0421304,1
05355408-0528327,1
05360185-0517365,1
05324407-0529523,1
05331624-0613195,1
05342767-0537192,1
05350138-0615175,1
05351121-0517209,1
05351214-0531388,1
05351236-0543184,1
05351561-0524030,1
05351755-0453037,1
05353002-0434276,1
05354311-0424556,1
05354463-0450098,1
05342626-0646093,1
05351798-0604430,1
05352992-0644151,1
05354337-0622195,1
05361723-0617245,1
05370100-0735469,1
05371161-0723239,1
05380160-0722218,1
05402047-0911572,1
05405530-0813169,1
05411524-0752111,1
05413037-0912268,1
05413338-0759562,1
05420151-0756153,1
05422393-0809459,1
05341347-0423539,1
05344556-0529209,1
05345431-0454129,1
05351352-0527286,1
05352147-0557421,1
05354261-0526083,1
05335130-0451477,1
05343903-0455288,1
05344823-0447401,1
05350200-0520550,1
05350463-0509557,1
05352349-0520016,1
05363704-0504412,1
05365078-0459334,1
